name,ring,quadrant,isNew,description,5 rings,Category,Notes
Webpack,Promote,Languages and Frameworks,FALSE,"<a href=""https://webpack.js.org/"">Webpack</a> is a static module bundler for modern JavaScript applications, it provides a single dependency tree for static assets, allowing flexible manipulation of JavaScript, CSS, etc. and minimizing what needs to be sent to the browser.<br/>
<br/>
Webpack is used to build and package many projects.",Promote,Build,
Vite,Evaluate,Languages and Frameworks,FALSE,"<a href=""https://vitejs.dev/"">Vite</a> is a build tool that aims to provide a faster and leaner development experience for modern web projects.<br/>
<br/>
Vite is used in the BiFrost project.",Evaluate,Build,Used in BiFrost
rollup.js,Evaluate,Languages and Frameworks,FALSE,"<a href=""https://rollupjs.org/guide/en/"">rollup.js</a> is a module bundler for JavaScript which compiles small pieces of code into something larger and more complex, such as a library or application.<br/>
<br/>
rollup.js is used by Vivid.",Evaluate,Build,Vivid
Vue.js 3,Promote,Languages and Frameworks,FALSE,"<a href=""https://vuejs.org/"">Vue.js</a> has become one of the successfully applied and trusted frontend JavaScript frameworks among our community. Although there are other, well-adopted alternatives, such as React, the simplicity of Vue.js in API design, its clear segregation of directives and components (one file per component idiom) and its simpler state management have made it a compelling option among others.",Promote,Framework,
React,Hold,Languages and Frameworks,FALSE,"<a href=""https://reactjs.org"">React</a> is a JavaScript library for building user interfaces. React apps are made out of <em>components</em>. A component is a piece of the UI (user interface) that has its own logic and appearance. A component can be as small as a button, or as large as an entire page.<br/>
<br/>
React is used in NeRu but we do not recommend for new projects.",Endure,Framework,
Vivid,Promote,Languages and Frameworks,FALSE,"<a href=""https://github.com/vonage/vivid-3"">Vivid</a> is Vonage's design system platform targeted to provide incorporated, battery-charged web components.",Promote,Presentation,
Volta,Hold,Languages and Frameworks,FALSE,"<a href=""https://confluence.vonage.com/display/VOL/Welcome+to+Volta"">Volta</a> is a Vonage Design System, built and maintained by the Product Design Team to provide pixel-perfect reusable components for developers.<br/>
<br/>
Volta is now deprecated in favour of Vivid, any projects using Volta should be migrated to Vivid.",Retire,,
JUnit,Promote,Languages and Frameworks,FALSE,"<a href=""https://junit.org/junit5/"">JUnit 5</a> is an up-to-date foundation for developer-side testing on the JVM enabling many different styles of testing.",Promote,Testing,Is it no-brainer yet?
Mockito,Promote,Languages and Frameworks,FALSE,"<a href=""https://site.mockito.org/"">Mockito</a> is a JVM mocking framework that lets you write beautiful tests with a clean &amp; simple API. Mockito tests are very readable and they produce clean verification errors.",Promote,Testing,
WireMock,Promote,Languages and Frameworks,FALSE,"<a href=""https://wiremock.org/"">WireMock</a> is an HTTP mock server. At its core it is web server that can be primed to serve canned responses to particular requests (stubbing) and that captures incoming requests so that they can be checked later (verification). It also has an assortment of other useful features including record/playback of interactions with other APIs, injection of faults and delays, simulation of stateful behaviour. It can be used as a library by any JVM application, or run as a standalone process either on the same host as the system under test or a remote server.",Promote,Testing,
Gatling,Promote,Languages and Frameworks,FALSE,"<a href=""https://gatling.io/open-source/"">Gatling</a> is an open-source load testing solution designed for continuous load testing and integrates with your development pipeline. Gatling includes a web recorder and colorful reports. Tests are written in a Domain Specific Language (DSL), in order to make test scenarios readable for everyone: Scala, Java or Kotlin.",Promote,Testing,"Locust, JMeter"
Jest,Promote,Languages and Frameworks,FALSE,"<a href=""https://jestjs.io/"">Jest</a> is a JavaScript testing framework designed to ensure correctness of any JavaScript codebase. It allows you to write tests with an approachable, familiar and feature-rich API that gives you results quickly. Jest works with projects using: TypeScript, Vue, Node, React, Angular, Babel and more.",Promote,,
Cypress,Evaluate,Languages and Frameworks,FALSE,"<a href=""https://www.cypress.io/"">Cypress</a> is a front end testing tool built for the modern web. Cypress is most often compared to Selenium; however Cypress is both fundamentally and architecturally different so is not constrained by the same restrictions. Cypress enables you to write all types of tests End-to-end tests, Integration tests and Unit tests; Cypress can test anything that runs in a browser.<br/>
<br/>
Cypress is being evaluated on the Customer Dashboard as a smoke test tool.",Evaluate,,
Selenium,Promote,Languages and Frameworks,FALSE,"<a href=""https://www.selenium.dev/"">Selenium</a> is a browser automation tool that is primarily used to create robust, browser-based regression automation suites and tests. Selenium WebDriver drives a browser natively, as a user would, either locally or on a remote machine using the Selenium server.",Promote,,
TestContainers,Promote,Languages and Frameworks,FALSE,"<a href=""https://www.testcontainers.org/"">TestContainers</a> is a Java library that allows containers to be used as part of JUnit based tests, providing lightweight, throwaway instances of services, common databases, LocalStack, or anything else that can run in Docker.",Promote,Testing,
AssertJ,Promote,Languages and Frameworks,FALSE,"<a href=""https://assertj.github.io/doc/"">AssertJ</a> is a Java library that provides a rich set of assertions, truly helpful error messages, improves test code readability and is designed to be super easy to use within IDEs.",Promote,Testing,What about Google Truth?
pytest,Hold,Languages and Frameworks,FALSE,"The <a href=""https://docs.pytest.org"">pytest</a> framework makes it easy to write small, readable tests, and can scale to support complex functional testing for applications and libraries.<br/>
<br/>
pytest has been used for much of our end-to-end testing and there are a number of libraries that include fixture creation to help generate test data. pytest should not be considered a default for end-to-end testing in new projects, any choice should be discussed with the engineering team.",Endure,Testing,
Caffeine,Promote,Languages and Frameworks,FALSE,"<a href=""https://github.com/ben-manes/caffeine"">Caffeine</a> is a high performance Java caching library providing a near optimal hit rate. Caffeine provide flexible construction to create a cache with a combination of the optional features: automatic loading of entries into the cache, async refresh, size- and time-based eviction, eviction notifications and statistics. A Kotlin wrapper is offered by the <a href=""https://github.com/sksamuel/aedile"">aedile</a> project.",Promote,Caching,Consider EHCache also?
